Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num
2009,Kreis 4,6-Zimmer und mehr,6014000.0,19654.0,6
2009,Werd,1-Zimmer,0.0,0.0,1
2009,Werd,2-Zimmer,0.0,0.0,2
2009,Werd,3-Zimmer,1283750.0,16045.5,3
2009,Werd,4-Zimmer,1575000.0,14925.0,4
2009,Werd,5-Zimmer,0.0,0.0,5
2009,Werd,6-Zimmer und mehr,0.0,0.0,6
2009,Langstrasse,1-Zimmer,295000.0,13509.0,1
2009,Langstrasse,2-Zimmer,1005000.0,12510.5,2
2009,Langstrasse,3-Zimmer,462500.0,6167.0,3
2009,Langstrasse,4-Zimmer,699000.0,7943.0,4
2009,Langstrasse,5-Zimmer,2297500.0,12376.0,5
2009,Langstrasse,6-Zimmer und mehr,6014000.0,19654.0,6
2009,Hard,1-Zimmer,170000.0,5862.0,1
2009,Hard,2-Zimmer,300000.0,6383.0,2
2009,Hard,3-Zimmer,330000.0,5238.0,3
2009,Hard,4-Zimmer,440000.0,5000.0,4
2009,Hard,5-Zimmer,0.0,0.0,5
2009,Hard,6-Zimmer und mehr,0.0,0.0,6
2009,Kreis 5,1-Zimmer,926090.0,17618.0,1
2009,Kreis 5,2-Zimmer,995000.0,10938.0,2
2009,Kreis 5,3-Zimmer,1170000.0,10965.0,3
2009,Kreis 5,4-Zimmer,2700000.0,15508.0,4
2009,Kreis 5,5-Zimmer,1625170.0,12406.0,5
2009,Kreis 5,6-Zimmer und mehr,1340000.0,7053.0,6
2009,Gewerbeschule,1-Zimmer,450000.0,11325.0,1
2009,Gewerbeschule,2-Zimmer,517500.0,9081.0,2
2009,Gewerbeschule,3-Zimmer,470000.0,9400.0,3
2009,Gewerbeschule,4-Zimmer,981250.0,8506.0,4
2009,Gewerbeschule,5-Zimmer,2107500.0,9802.5,5
2009,Gewerbeschule,6-Zimmer und mehr,1340000.0,7053.0,6
2009,Escher Wyss,1-Zimmer,926090.0,17618.0,1
2009,Escher Wyss,2-Zimmer,1147830.0,11845.0,2
2009,Escher Wyss,3-Zimmer,1210000.0,11756.0,3
2009,Escher Wyss,4-Zimmer,2837500.0,15595.0,4
2009,Escher Wyss,5-Zimmer,1625170.0,12406.0,5
2009,Escher Wyss,6-Zimmer und mehr,6242010.0,16821.0,6
2009,Kreis 6,1-Zimmer,414010.0,13509.0,1
2009,Kreis 6,2-Zimmer,552500.0,9321.0,2
2009,Kreis 6,3-Zimmer,1180000.0,12826.0,3
2009,Kreis 6,4-Zimmer,1160000.0,9558.0,4
2009,Kreis 6,5-Zimmer,1550000.0,11000.0,5
2009,Kreis 6,6-Zimmer und mehr,2550000.0,15615.0,6
2009,Unterstrass,1-Zimmer,395895.0,12237.0,1
2009,Unterstrass,2-Zimmer,540000.0,9643.0,2
2009,Unterstrass,3-Zimmer,862500.0,10780.0,3
2009,Unterstrass,4-Zimmer,992970.0,7867.0,4
2009,Unterstrass,5-Zimmer,1066250.0,7572.0,5
2009,Unterstrass,6-Zimmer und mehr,2365000.0,12814.0,6
2009,Oberstrass,1-Zimmer,414010.0,13509.0,1
2009,Oberstrass,2-Zimmer,565000.0,8561.0,2
2009,Oberstrass,3-Zimmer,1200000.0,13333.0,3
2009,Oberstrass,4-Zimmer,1160000.0,9558.0,4
2009,Oberstrass,5-Zimmer,1608100.0,11329.0,5
2009,Oberstrass,6-Zimmer und mehr,2690000.0,15669.0,6
2009,Kreis 7,1-Zimmer,930000.0,37200.0,1
2009,Kreis 7,2-Zimmer,415000.0,6054.0,2
2009,Kreis 7,3-Zimmer,900000.0,11136.0,3
2009,Kreis 7,4-Zimmer,1464440.0,12999.0,4
2009,Kreis 7,5-Zimmer,1516440.0,11429.0,5
2009,Kreis 7,6-Zimmer und mehr,2490000.0,12544.0,6
2009,Fluntern,1-Zimmer,605000.0,14146.0,1
2009,Fluntern,2-Zimmer,680000.0,12143.0,2
2009,Fluntern,3-Zimmer,1626030.0,13415.0,3
2009,Fluntern,4-Zimmer,1600000.0,13521.0,4
2009,Fluntern,5-Zimmer,2294120.0,14400.0,5
2009,Fluntern,6-Zimmer und mehr,3350000.0,12064.0,6
2009,Hottingen,1-Zimmer,930000.0,37200.0,1
2009,Hottingen,2-Zimmer,1030000.0,13350.0,2
2009,Hottingen,3-Zimmer,1012500.0,12250.0,3
2009,Hottingen,4-Zimmer,1464440.0,14126.0,4
2009,Hottingen,5-Zimmer,1176000.0,11760.0,5
2009,Hottingen,6-Zimmer und mehr,2800000.0,15723.0,6
2009,Hirslanden,1-Zimmer,1092500.0,19337.5,1
2009,Hirslanden,2-Zimmer,807500.0,11047.0,2
2009,Hirslanden,3-Zimmer,575000.0,7153.0,3
2009,Hirslanden,4-Zimmer,1750000.0,13352.0,4
2009,Hirslanden,5-Zimmer,1600000.0,11429.0,5
2009,Hirslanden,6-Zimmer und mehr,3000000.0,16270.0,6
2009,Witikon,1-Zimmer,483000.0,12601.5,1
2009,Witikon,2-Zimmer,278540.0,6054.0,2
2009,Witikon,3-Zimmer,812500.0,8389.0,3
2009,Witikon,4-Zimmer,843750.0,8104.0,4
2009,Witikon,5-Zimmer,1001500.0,6813.0,5
2009,Witikon,6-Zimmer und mehr,1402500.0,7866.0,6
2009,Kreis 8,1-Zimmer,570000.0,16190.5,1
2009,Kreis 8,2-Zimmer,275560.0,4762.0,2
2009,Kreis 8,3-Zimmer,987500.0,10683.0,3
2009,Kreis 8,4-Zimmer,1200000.0,11917.0,4
2009,Kreis 8,5-Zimmer,1330000.0,11253.0,5
2009,Kreis 8,6-Zimmer und mehr,3585000.0,16027.0,6
2009,Seefeld,1-Zimmer,750000.0,24194.0,1
2009,Seefeld,2-Zimmer,271110.0,4762.0,2
2009,Seefeld,3-Zimmer,1300000.0,14731.0,3
2009,Seefeld,4-Zimmer,1100000.0,11579.0,4
2009,Seefeld,5-Zimmer,1330000.0,11253.0,5
2009,Seefeld,6-Zimmer und mehr,2175000.0,11569.0,6
2009,Mühlebach,1-Zimmer,462500.0,15776.5,1
2009,Mühlebach,2-Zimmer,900000.0,12857.0,2
2009,Mühlebach,3-Zimmer,800000.0,10526.0,3
2009,Mühlebach,4-Zimmer,1550000.0,15401.0,4
2009,Mühlebach,5-Zimmer,2425000.0,14751.0,5
2009,Mühlebach,6-Zimmer und mehr,3500000.0,15210.0,6
2009,Weinegg,1-Zimmer,1118580.0,18164.0,1
2009,Weinegg,2-Zimmer,1246250.0,16154.5,2
2009,Weinegg,3-Zimmer,1180000.0,10727.0,3
2009,Weinegg,4-Zimmer,1315000.0,11958.0,4
2009,Weinegg,5-Zimmer,2262500.0,15395.5,5
2009,Weinegg,6-Zimmer und mehr,3100000.0,16705.0,6
2009,Kreis 9,1-Zimmer,240890.0,8030.0,1
2009,Kreis 9,2-Zimmer,460000.0,7937.0,2
2009,Kreis 9,3-Zimmer,670000.0,7836.0,3
2009,Kreis 9,4-Zimmer,610000.0,6040.0,4
2009,Kreis 9,5-Zimmer,607500.0,5876.0,5
2009,Kreis 9,6-Zimmer und mehr,1430000.0,8868.0,6
2009,Albisrieden,1-Zimmer,235450.0,8615.0,1
