Quartier,Zielort,Transportmittel,Reisezeit_Minuten
Langstrasse,Hauptbahnhof,driving,2.5
Langstrasse,ETH,transit,17.6
Langstrasse,ETH,driving,10.4
Langstrasse,Flughafen,transit,21.2
Langstrasse,Flughafen,driving,11.6
Langstrasse,Bahnhofstrasse,transit,15.0
Langstrasse,Bahnhofstrasse,driving,6.7
Hard,Hauptbahnhof,transit,14.9
Hard,Hauptbahnhof,driving,11.2
Hard,ETH,transit,24.9
Hard,ETH,driving,17.2
Hard,Flughafen,transit,29.8
Hard,Flughafen,driving,16.4
Hard,Bahnhofstrasse,transit,18.6
Hard,Bahnhofstrasse,driving,12.9
Kreis 5,Hauptbahnhof,transit,6.5
Kreis 5,Hauptbahnhof,driving,2.3
Kreis 5,ETH,transit,18.8
Kreis 5,ETH,driving,9.5
Kreis 5,Flughafen,transit,22.4
Kreis 5,Flughafen,driving,9.5
Kreis 5,Bahnhofstrasse,transit,13.6
Kreis 5,Bahnhofstrasse,driving,9.4
Gewerbeschule,Hauptbahnhof,transit,3.9
Gewerbeschule,Hauptbahnhof,driving,2.6
Gewerbeschule,ETH,transit,17.8
Gewerbeschule,ETH,driving,11.2
Gewerbeschule,Flughafen,transit,22.2
Gewerbeschule,Flughafen,driving,12.8
Gewerbeschule,Bahnhofstrasse,transit,11.3
Gewerbeschule,Bahnhofstrasse,driving,9.6
Escher Wyss,Hauptbahnhof,transit,0.8
Escher Wyss,Hauptbahnhof,driving,0.3
Escher Wyss,ETH,transit,9.2
Escher Wyss,ETH,driving,5.3
Escher Wyss,Flughafen,transit,17.6
Escher Wyss,Flughafen,driving,9.9
Escher Wyss,Bahnhofstrasse,transit,6.5
Escher Wyss,Bahnhofstrasse,driving,6.2
Kreis 6,Hauptbahnhof,transit,12.8
Kreis 6,Hauptbahnhof,driving,6.6
Kreis 6,ETH,transit,7.2
Kreis 6,ETH,driving,3.5
Kreis 6,Flughafen,transit,28.9
Kreis 6,Flughafen,driving,11.0
Kreis 6,Bahnhofstrasse,transit,20.4
Kreis 6,Bahnhofstrasse,driving,11.8
Unterstrass,Hauptbahnhof,transit,9.2
Unterstrass,Hauptbahnhof,driving,3.9
Unterstrass,ETH,transit,9.3
Unterstrass,ETH,driving,3.1
Unterstrass,Flughafen,transit,33.1
Unterstrass,Flughafen,driving,9.9
Unterstrass,Bahnhofstrasse,transit,11.6
Unterstrass,Bahnhofstrasse,driving,9.9
Oberstrass,Hauptbahnhof,transit,14.7
Oberstrass,Hauptbahnhof,driving,6.3
Oberstrass,ETH,transit,9.1
Oberstrass,ETH,driving,3.6
Oberstrass,Flughafen,transit,28.2
Oberstrass,Flughafen,driving,8.8
Oberstrass,Bahnhofstrasse,transit,22.3
Oberstrass,Bahnhofstrasse,driving,11.9
Kreis 7,Hauptbahnhof,transit,17.2
Kreis 7,Hauptbahnhof,driving,10.5
Kreis 7,ETH,transit,20.7
Kreis 7,ETH,driving,9.2
Kreis 7,Flughafen,transit,34.6
Kreis 7,Flughafen,driving,18.6
Kreis 7,Bahnhofstrasse,transit,22.6
Kreis 7,Bahnhofstrasse,driving,14.3
Fluntern,Hauptbahnhof,transit,20.2
Fluntern,Hauptbahnhof,driving,9.3
Fluntern,ETH,transit,14.1
Fluntern,ETH,driving,6.2
Fluntern,Flughafen,transit,35.9
Fluntern,Flughafen,driving,14.2
Fluntern,Bahnhofstrasse,transit,22.7
Fluntern,Bahnhofstrasse,driving,14.5
Hottingen,Hauptbahnhof,transit,11.8
Hottingen,Hauptbahnhof,driving,7.2
Hottingen,ETH,transit,14.2
Hottingen,ETH,driving,5.9
Hottingen,Flughafen,transit,28.3
Hottingen,Flughafen,driving,15.6
Hottingen,Bahnhofstrasse,transit,17.5
Hottingen,Bahnhofstrasse,driving,11.0
Hirslanden,Hauptbahnhof,transit,17.5
Hirslanden,Hauptbahnhof,driving,10.2
Hirslanden,ETH,transit,19.9
Hirslanden,ETH,driving,8.9
Hirslanden,Flughafen,transit,34.0
Hirslanden,Flughafen,driving,18.3
Hirslanden,Bahnhofstrasse,transit,23.6
Hirslanden,Bahnhofstrasse,driving,13.8
Witikon,Hauptbahnhof,transit,24.8
Witikon,Hauptbahnhof,driving,14.1
Witikon,ETH,transit,28.3
Witikon,ETH,driving,12.8
Witikon,Flughafen,transit,42.7
Witikon,Flughafen,driving,21.2
Witikon,Bahnhofstrasse,transit,30.1
Witikon,Bahnhofstrasse,driving,18.0
Kreis 8,Hauptbahnhof,transit,18.3
Kreis 8,Hauptbahnhof,driving,10.7
Kreis 8,ETH,transit,20.3
Kreis 8,ETH,driving,9.8
Kreis 8,Flughafen,transit,30.4
Kreis 8,Flughafen,driving,19.7
Kreis 8,Bahnhofstrasse,transit,19.4
Kreis 8,Bahnhofstrasse,driving,9.8
Seefeld,Hauptbahnhof,transit,10.9
Seefeld,Hauptbahnhof,driving,10.4
Seefeld,ETH,transit,16.1
Seefeld,ETH,driving,9.5
Seefeld,Flughafen,transit,28.4
Seefeld,Flughafen,driving,19.4
Seefeld,Bahnhofstrasse,transit,13.1
Seefeld,Bahnhofstrasse,driving,10.5
Mühlebach,Hauptbahnhof,transit,11.4
Mühlebach,Hauptbahnhof,driving,11.0
Mühlebach,ETH,transit,14.2
Mühlebach,ETH,driving,9.7
Mühlebach,Flughafen,transit,21.9
Mühlebach,Flughafen,driving,20.0
Mühlebach,Bahnhofstrasse,transit,15.3
Mühlebach,Bahnhofstrasse,driving,9.8
Weinegg,Hauptbahnhof,transit,0.8
Weinegg,Hauptbahnhof,driving,0.3
Weinegg,ETH,transit,9.2
Weinegg,ETH,driving,5.3
Weinegg,Flughafen,transit,17.6
Weinegg,Flughafen,driving,9.9
Weinegg,Bahnhofstrasse,transit,6.5
Weinegg,Bahnhofstrasse,driving,6.2
Kreis 9,Hauptbahnhof,transit,25.8
Kreis 9,Hauptbahnhof,driving,13.5
Kreis 9,ETH,transit,36.5
Kreis 9,ETH,driving,19.6
Kreis 9,Flughafen,transit,41.4
Kreis 9,Flughafen,driving,18.7
Kreis 9,Bahnhofstrasse,transit,29.0
Kreis 9,Bahnhofstrasse,driving,17.0
Albisrieden,Hauptbahnhof,transit,25.8
Albisrieden,Hauptbahnhof,driving,14.7
Albisrieden,ETH,transit,36.4
Albisrieden,ETH,driving,21.4
Albisrieden,Flughafen,transit,41.4
Albisrieden,Flughafen,driving,19.9
Albisrieden,Bahnhofstrasse,transit,28.0
Albisrieden,Bahnhofstrasse,driving,17.4
Altstetten,Hauptbahnhof,transit,13.3
Altstetten,Hauptbahnhof,driving,17.2
Altstetten,ETH,transit,24.3
Altstetten,ETH,driving,23.5
Altstetten,Flughafen,transit,30.5
Altstetten,Flughafen,driving,18.1
Altstetten,Bahnhofstrasse,transit,25.5
Altstetten,Bahnhofstrasse,driving,22.0
Kreis 10,Hauptbahnhof,transit,22.1
Kreis 10,Hauptbahnhof,driving,11.4
Kreis 10,ETH,transit,29.3
Kreis 10,ETH,driving,11.6
Kreis 10,Flughafen,transit,34.2
Kreis 10,Flughafen,driving,10.8
Kreis 10,Bahnhofstrasse,transit,28.1
Kreis 10,Bahnhofstrasse,driving,17.0
Höngg,Hauptbahnhof,transit,16.6
Höngg,Hauptbahnhof,driving,10.4
Höngg,ETH,transit,29.3
Höngg,ETH,driving,13.7
Höngg,Flughafen,transit,34.5
Höngg,Flughafen,driving,13.7
Höngg,Bahnhofstrasse,transit,24.0
Höngg,Bahnhofstrasse,driving,17.5
Wipkingen,Hauptbahnhof,transit,14.2
Wipkingen,Hauptbahnhof,driving,5.7
Wipkingen,ETH,transit,17.7
Wipkingen,ETH,driving,9.1
Wipkingen,Flughafen,transit,33.9
Wipkingen,Flughafen,driving,8.3
Wipkingen,Bahnhofstrasse,transit,18.2
Wipkingen,Bahnhofstrasse,driving,12.3
Kreis 11,Hauptbahnhof,transit,18.9
Kreis 11,Hauptbahnhof,driving,16.1
Kreis 11,ETH,transit,22.9
Kreis 11,ETH,driving,15.3
Kreis 11,Flughafen,transit,15.1
Kreis 11,Flughafen,driving,9.3
Kreis 11,Bahnhofstrasse,transit,26.1
Kreis 11,Bahnhofstrasse,driving,21.6
Affoltern,Hauptbahnhof,transit,24.1
Affoltern,Hauptbahnhof,driving,16.4
Affoltern,ETH,transit,36.2
Affoltern,ETH,driving,16.8
Affoltern,Flughafen,transit,34.4
Affoltern,Flughafen,driving,9.6
Affoltern,Bahnhofstrasse,transit,36.1
Affoltern,Bahnhofstrasse,driving,21.9
Oerlikon,Hauptbahnhof,transit,14.3
Oerlikon,Hauptbahnhof,driving,13.8
Oerlikon,ETH,transit,23.7
Oerlikon,ETH,driving,13.0
Oerlikon,Flughafen,transit,9.2
Oerlikon,Flughafen,driving,9.6
Oerlikon,Bahnhofstrasse,transit,26.8
Oerlikon,Bahnhofstrasse,driving,19.4
Seebach,Hauptbahnhof,transit,31.6
Seebach,Hauptbahnhof,driving,12.0
Seebach,ETH,transit,35.5
Seebach,ETH,driving,15.2
Seebach,Flughafen,transit,22.8
Seebach,Flughafen,driving,7.3
