Jahr,Baualter,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,Baujahr
2011,Altbauten (nicht umgebaut),3-Zimmer,676120,7836,3,
2011,Total,3-Zimmer,740000,7839,3,
2011,Neubauten (0–1 Jahre),4-Zimmer,883590,7562,4,
2011,2–9 Jahre,4-Zimmer,1350000,10769,4,
2011,10–19 Jahre,4-Zimmer,1320000,10241,4,
2011,Altbauten (umgebaut),4-Zimmer,1290000,12944,4,
2011,Altbauten (nicht umgebaut),4-Zimmer,972500,9086,4,
2011,Total,4-Zimmer,1000000,8674,4,
2011,Neubauten (0–1 Jahre),5-Zimmer,1610000,10285,5,
2011,2–9 Jahre,5-Zimmer,1345000,7770,5,
2011,10–19 Jahre,5-Zimmer,2237500,13808,5,
2011,Altbauten (umgebaut),5-Zimmer,1790000,12407,5,
2011,Altbauten (nicht umgebaut),5-Zimmer,1075000,9009,5,
2011,Total,5-Zimmer,1450000,9984,5,
2011,Neubauten (0–1 Jahre),6-Zimmer und mehr,3990000,14354,6,
2011,2–9 Jahre,6-Zimmer und mehr,828140,4415,6,
2011,Altbauten (umgebaut),6-Zimmer und mehr,2876660,16361,6,
2011,Altbauten (nicht umgebaut),6-Zimmer und mehr,1630000,10999,6,
2011,Total,6-Zimmer und mehr,1800000,10843,6,
2012,Neubauten (0–1 Jahre),1-Zimmer,497900,9631,1,
2012,10–19 Jahre,1-Zimmer,130000,5000,1,
2012,Altbauten (umgebaut),1-Zimmer,1255000,13650,1,
2012,Altbauten (nicht umgebaut),1-Zimmer,275000,7022,1,
2012,Total,1-Zimmer,310000,7586,1,
2012,Neubauten (0–1 Jahre),2-Zimmer,1250000,12755,2,
2012,2–9 Jahre,2-Zimmer,971500,12725,2,
2012,10–19 Jahre,2-Zimmer,500000,8450,2,
2012,Altbauten (umgebaut),2-Zimmer,630000,12077,2,
2012,Altbauten (nicht umgebaut),2-Zimmer,534400,7979,2,
2012,Total,2-Zimmer,716000,10508,2,
2012,Neubauten (0–1 Jahre),3-Zimmer,890960,8361,3,
2012,2–9 Jahre,3-Zimmer,1169500,10544,3,
2012,10–19 Jahre,3-Zimmer,990000,10182,3,
2012,Altbauten (umgebaut),3-Zimmer,887500,9796,3,
2012,Altbauten (nicht umgebaut),3-Zimmer,697500,8627,3,
2012,Total,3-Zimmer,800000,8666,3,
2012,Neubauten (0–1 Jahre),4-Zimmer,1751000,12473,4,
2012,2–9 Jahre,4-Zimmer,1172500,9898,4,
2012,10–19 Jahre,4-Zimmer,1000000,8673,4,
2012,Altbauten (umgebaut),4-Zimmer,1985000,14597,4,
2012,Altbauten (nicht umgebaut),4-Zimmer,900000,9682,4,
2012,Total,4-Zimmer,1330000,10595,4,
2012,Neubauten (0–1 Jahre),5-Zimmer,1745500,11598,5,
2012,2–9 Jahre,5-Zimmer,1525000,10076,5,
2012,10–19 Jahre,5-Zimmer,1267500,9539,5,
2012,Altbauten (umgebaut),5-Zimmer,2740000,15953,5,
2012,Altbauten (nicht umgebaut),5-Zimmer,1275000,10189,5,
2012,Total,5-Zimmer,1515000,10775,5,
2012,Neubauten (0–1 Jahre),6-Zimmer und mehr,4125000,16821,6,
2012,2–9 Jahre,6-Zimmer und mehr,6221470,16709,6,
