Jahr,Baualter,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,Baujahr
2021,2–9 Jahre,4-Zimmer,1905000,15868,4,
2021,10–19 Jahre,4-Zimmer,1550000,13070,4,
2021,Altbauten (umgebaut),4-Zimmer,1866590,15280,4,
2021,Altbauten (nicht umgebaut),4-Zimmer,1500000,15050,4,
2021,Total,4-Zimmer,1537500,13406,4,
2021,Neubauten (0–1 Jahre),5-Zimmer,1987500,13742,5,
2021,2–9 Jahre,5-Zimmer,2800000,18429,5,
2021,10–19 Jahre,5-Zimmer,3275000,16480,5,
2021,Altbauten (umgebaut),5-Zimmer,1850000,12171,5,
2021,Altbauten (nicht umgebaut),5-Zimmer,1800000,15657,5,
2021,Total,5-Zimmer,2200000,15357,5,
2021,Neubauten (0–1 Jahre),6-Zimmer und mehr,5224640,16437,6,
2021,10–19 Jahre,6-Zimmer und mehr,2250000,9971,6,
2021,Altbauten (nicht umgebaut),6-Zimmer und mehr,3600000,19275,6,
2021,Total,6-Zimmer und mehr,3240000,18506,6,
2022,2–9 Jahre,1-Zimmer,978000,20646,1,
2022,10–19 Jahre,1-Zimmer,1201250,17194,1,
2022,Altbauten (umgebaut),1-Zimmer,740000,18500,1,
2022,Altbauten (nicht umgebaut),1-Zimmer,460000,15359,1,
2022,Total,1-Zimmer,510310,15565,1,
2022,Neubauten (0–1 Jahre),2-Zimmer,953000,12708,2,
2022,2–9 Jahre,2-Zimmer,1440000,17934,2,
2022,10–19 Jahre,2-Zimmer,1872500,15807,2,
2022,Altbauten (umgebaut),2-Zimmer,982000,16367,2,
2022,Altbauten (nicht umgebaut),2-Zimmer,999700,16667,2,
2022,Total,2-Zimmer,1025000,14801,2,
2022,Neubauten (0–1 Jahre),3-Zimmer,1272150,12991,3,
2022,2–9 Jahre,3-Zimmer,1970000,18381,3,
2022,10–19 Jahre,3-Zimmer,1400000,13333,3,
2022,Altbauten (umgebaut),3-Zimmer,1727500,15364,3,
2022,Altbauten (nicht umgebaut),3-Zimmer,1157500,15473,3,
2022,Total,3-Zimmer,1306660,14375,3,
2022,Neubauten (0–1 Jahre),4-Zimmer,1610000,13851,4,
2022,2–9 Jahre,4-Zimmer,2300000,16685,4,
2022,10–19 Jahre,4-Zimmer,2000000,14679,4,
2022,Altbauten (umgebaut),4-Zimmer,1650000,17820,4,
2022,Altbauten (nicht umgebaut),4-Zimmer,1575000,15600,4,
2022,Total,4-Zimmer,1630000,14224,4,
2022,Neubauten (0–1 Jahre),5-Zimmer,1980000,14473,5,
2022,2–9 Jahre,5-Zimmer,2150000,15926,5,
2022,10–19 Jahre,5-Zimmer,2450000,14292,5,
2022,Altbauten (umgebaut),5-Zimmer,3650000,27863,5,
2022,Altbauten (nicht umgebaut),5-Zimmer,2260000,15649,5,
2022,Total,5-Zimmer,2201000,14919,5,
2022,Neubauten (0–1 Jahre),6-Zimmer und mehr,3650000,16295,6,
2022,10–19 Jahre,6-Zimmer und mehr,3725000,16946,6,
2022,Altbauten (umgebaut),6-Zimmer und mehr,3705000,24902,6,
2022,Altbauten (nicht umgebaut),6-Zimmer und mehr,3175000,18368,6,
2022,Total,6-Zimmer und mehr,3500000,18553,6,
2023,Neubauten (0–1 Jahre),1-Zimmer,670000,17742,1,
2023,2–9 Jahre,1-Zimmer,1000000,16808,1,
2023,10–19 Jahre,1-Zimmer,1300000,18581,1,
2023,Altbauten (umgebaut),1-Zimmer,730000,18806,1,
2023,Altbauten (nicht umgebaut),1-Zimmer,515500,17411,1,
2023,Total,1-Zimmer,592500,17532,1,
2023,Neubauten (0–1 Jahre),2-Zimmer,832500,11828,2,
2023,2–9 Jahre,2-Zimmer,1450000,20253,2,
2023,10–19 Jahre,2-Zimmer,1745000,16670,2,
2023,Altbauten (umgebaut),2-Zimmer,1750000,20349,2,
2023,Altbauten (nicht umgebaut),2-Zimmer,949420,16272,2,
2023,Total,2-Zimmer,890000,13920,2,
2023,Neubauten (0–1 Jahre),3-Zimmer,1267000,14574,3,
2023,2–9 Jahre,3-Zimmer,1970000,17608,3,
2023,10–19 Jahre,3-Zimmer,1684000,15593,3,
2023,Altbauten (umgebaut),3-Zimmer,1880000,14803,3,
2023,Altbauten (nicht umgebaut),3-Zimmer,1031440,13158,3,
2023,Total,3-Zimmer,1290000,14848,3,
2023,Neubauten (0–1 Jahre),4-Zimmer,1735000,15584,4,
2023,2–9 Jahre,4-Zimmer,2200000,16432,4,
2023,10–19 Jahre,4-Zimmer,2340000,16803,4,
2023,Altbauten (umgebaut),4-Zimmer,2185500,17685,4,
2023,Altbauten (nicht umgebaut),4-Zimmer,1575000,15181,4,
2023,Total,4-Zimmer,1734800,15674,4,
2023,Neubauten (0–1 Jahre),5-Zimmer,2127500,18289,5,
2023,2–9 Jahre,5-Zimmer,3100000,19139,5,
2023,10–19 Jahre,5-Zimmer,2180000,15880,5,
2023,Altbauten (umgebaut),5-Zimmer,2313740,13861,5,
2023,Altbauten (nicht umgebaut),5-Zimmer,1830000,13844,5,
2023,Total,5-Zimmer,2170000,16842,5,
2023,Neubauten (0–1 Jahre),6-Zimmer und mehr,2700000,13778,6,
2023,10–19 Jahre,6-Zimmer und mehr,2331000,13712,6,
2023,Altbauten (umgebaut),6-Zimmer und mehr,3555000,23543,6,
2023,Altbauten (nicht umgebaut),6-Zimmer und mehr,2900000,17131,6,
2023,Total,6-Zimmer und mehr,2850000,16193,6,
2024,Neubauten (0–1 Jahre),1-Zimmer,720000,14400,1,
2024,2–9 Jahre,1-Zimmer,1140000,19000,1,
2024,10–19 Jahre,1-Zimmer,1050000,15278,1,
2024,Altbauten (umgebaut),1-Zimmer,623000,16477,1,
2024,Altbauten (nicht umgebaut),1-Zimmer,610000,15591,1,
2024,Total,1-Zimmer,720000,15641,1,
2024,Neubauten (0–1 Jahre),2-Zimmer,1020000,16852,2,
2024,2–9 Jahre,2-Zimmer,1560000,20574,2,
2024,10–19 Jahre,2-Zimmer,1375000,21875,2,
2024,Altbauten (umgebaut),2-Zimmer,816500,11891,2,
2024,Altbauten (nicht umgebaut),2-Zimmer,1002000,16761,2,
2024,Total,2-Zimmer,1020000,17231,2,
2024,Neubauten (0–1 Jahre),3-Zimmer,1450000,15550,3,
2024,2–9 Jahre,3-Zimmer,1790000,17200,3,
2024,10–19 Jahre,3-Zimmer,1550000,14352,3,
2024,Altbauten (umgebaut),3-Zimmer,2165000,21095,3,
2024,Altbauten (nicht umgebaut),3-Zimmer,1300000,15263,3,
2024,Total,3-Zimmer,1383130,16225,3,
2024,Neubauten (0–1 Jahre),4-Zimmer,1892500,16962,4,
2024,2–9 Jahre,4-Zimmer,1860000,15765,4,
2024,10–19 Jahre,4-Zimmer,2625000,18267,4,
2024,Altbauten (umgebaut),4-Zimmer,2125000,20342,4,
2024,Altbauten (nicht umgebaut),4-Zimmer,1600000,15842,4,
2024,Total,4-Zimmer,1755000,16761,4,
2024,Neubauten (0–1 Jahre),5-Zimmer,2125000,16665,5,
2024,2–9 Jahre,5-Zimmer,2665000,15751,5,
2024,10–19 Jahre,5-Zimmer,2912500,18715,5,
2024,Altbauten (umgebaut),5-Zimmer,2620000,20000,5,
2024,Altbauten (nicht umgebaut),5-Zimmer,2105000,16031,5,
2024,Total,5-Zimmer,2300000,16840,5,
2024,Neubauten (0–1 Jahre),6-Zimmer und mehr,2950000,19156,6,
2024,10–19 Jahre,6-Zimmer und mehr,3160000,16443,6,
2024,Altbauten (umgebaut),6-Zimmer und mehr,2042120,14382,6,
2024,Altbauten (nicht umgebaut),6-Zimmer und mehr,4071750,22831,6,
2024,Total,6-Zimmer und mehr,2970000,16919,6,
